Num,Tag
1,058002ad0a0a
2,0580027e1ed7
3,0580027da07c
4,058001e1b1f6
5,058001f6c439
6,0580024f4ac0
7,058001f6ada1
8,058001dacecb
9,05800239785a
10,0580027dd94f
11,058001f6b0bd
12,058002e43313
13,058001db2890
14,0580027df206
15,058001dab8a7
16,0580027dce08
17,05800160c1ec
18,058001552bf3
19,058002e4fadd
20,0580027dd378
21,058001f6dc08
22,058001daf0c9
23,058001f70b97
24,058001f6b4b6
25,058001dac887
26,058001f866bf
27,0580027da4e9
28,058001f6dd52
29,0580024f63ce
30,058002e4871d
31,0580027defb3
32,058001e0e446
33,0580027d9d80
34,058001f6daeb
35,058001c63044
36,058001f6bec5
37,058001f6c42f
38,058001f8434c
39,0580027d1d51
40,05800181faff
41,058001db38e1
42,058002e47474
43,0580027dba71
44,058001f70b71
45,058001daaf3c
46,058002e4bec7
47,058002e41b1b
48,058001c558df
49,0580022221bf
50,0580024f35d7
51,0580027db4dd
52,0580027db96a
53,0580027e0d15
54,058001c5a462
55,058002bbd8be
56,058002e5370e
57,058001f874fa
58,058001db4607
59,058001f6981b
60,058001db8a8e
61,058001f72141
62,0580027d948e
63,058002e444b0
64,058001db51c5
65,058001c6b284
66,0580024f7381
67,058001f6a08a
68,058001db55a1
69,0580027d6039
70,058001610b65
71,058001f6d11d
72,058001e17c3e
73,058001f6d6d3
74,058001f72a45
75,0580027d8e73
76,0580027d7044
77,058001e10e86
78,058001dbc4e6
79,0580027da6b1
80,0580027d5da4
81,0580027d8719
82,0580015f98a7
83,058002e480d4
84,0580027da3ef
85,058001e0fa99
86,058002e4188f
87,058002accee4
88,058001c53af1
89,0580027dc248
90,058001e15bd8
91,05800154485d
92,058001f75a69
93,0580027dc6e5
94,058001e19074
95,058001f74a0c
96,05800220828c
97,058001f724c6
98,0580027cfdcc
99,0580027da2e4
100,0580023e10c2
101,058003014a29
102,058002bc505b
103,058001f7dbcb
104,058002ad31fa
105,058002e44a08
106,05800163ff4c
107,058003011f2b
108,0580018530ef
109,058001acff3f
110,058001e0ca12
111,0580027dce56
112,058002bc3c64
113,0580027e0e1a
114,05800183d4bf
115,058001616847
116,0580024f6b6d
117,0580018575b5
118,058001b2a6e6
119,058001b2a035
120,058002a2f21e
121,0580018506ea
122,058001e1ca5e
123,05800161458b
124,058001853692
125,058002a3301a
126,058002ab1858
127,05800183e551
128,058001dbd28d
129,05800181cf1c
130,058002ab033d
131,058001e1de55
132,0580027d77b0
133,058001f68cb9
134,058003013591
135,05800234c975
136,0580027d4b88
137,0580027dbd74
138,0580024f7232
139,058001600478
140,058001e88b0c
141,058001c57d21
142,058002e4dccc
143,058002e520e0
144,0580027d7d1e
145,0580023eb843
146,0580027de51d
147,0580027cfc4d
148,0580027d2075
149,0580027da09e
150,058002ac55bf
151,058001c62534
152,0580024f8141
153,058002e4c26b
154,0580022223d1
155,0580015f0e09
156,058001e1e1aa
157,058001f72fb8
158,0580027db882
159,058002e436fc
160,0580027d90e1
161,05800221a910
162,058001c6f3f5
163,0580027df502
164,058001e16ba1
165,058001e1aa7b
166,0580027dc9f3
167,0580027e0927
168,0580027dd78e
169,058002e43411
170,058001c6cb7b
171,0580027da740
172,0580027e1340
173,058001f745a4
174,0580027d7e05
175,0580018083fe
176,058002e41010
177,058002e43590
178,058002e4c464
179,0580027dfb4e
180,0580027e0913
181,058002bba909
182,058001854e54
183,058002aaa275
184,058001db590e
185,058001dba3dc
186,058003239614
187,058002a341bb
188,058001e3c589
189,058001ea7da0
190,058002a317f1
191,058001e9cce8
192,058001acf9ea
193,058002bbc5fb
194,058001e3ab3d
195,058002bbe744
196,058001dbce1c
197,058002aaedae
198,058001ad8fc7
199,058001f76748
200,058002a33f57
201,058001dada4c
202,058001e12a23
203,0580027da233
204,058001c60226
205,0580027e110d
206,0580027dd762
207,058001813b6a
208,0580027d7ca0
209,058001e17b39
210,058002ad0ca4
211,0580027d8d7a
212,058001dacc60
213,0580027db1a7
214,058001e74695
215,0580027e094a
216,058001c5d611
217,058001e1c5b5
218,0580027e082b
219,058001e0f4e4
220,0580027df5a9
221,0580027d7f8e
222,05800221a7c0
223,058001f87ec0
224,058001f7ea88
225,058001f70f71
226,058001f7282e
227,058002e448aa
228,0580027dc3c4
229,058002e4c1b8
230,058001c60e66
231,058001f6be29
232,0580027dc05a
233,0580027ddff2
234,058001e19011
235,0580027dc1f3
236,0580027dc50b
237,058001c62315
238,058001c705ba
239,0580024f5fd7
240,058001c5597d
241,0580027d989d
242,0580027ddb9e
